x1,x2,x3,x4,x5,x6,y1,y2,y3,y4,y5,y6
2,3,3,5,5,12,0,1,1,4,4,7
0,8,1,1,5,13,2,3,3,9,4,4
0,2,1,3,5,9,2,1,3,5,4,4
0,9,1,5,4,7,2,2,3,14,5,21
0,2,1,12,2,3,3,14,4,15,5,29
0,2,2,8,3,7,1,5,4,13,5,20
0,1,1,7,4,13,2,6,3,8,5,21
1,4,3,11,4,7,0,7,2,3,5,18
0,8,1,6,2,3,3,14,4,9,5,23
0,1,2,8,3,6,1,5,4,13,5,19
0,3,1,3,2,9,3,6,4,12,5,18
1,1,4,2,5,15,0,12,2,1,3,13
1,1,2,9,3,6,0,5,4,10,5,16
0,5,1,1,4,15,2,14,3,6,5,21
0,2,1,10,2,1,3,12,4,11,5,23
0,3,2,6,4,13,1,7,3,10,5,23
0,5,3,6,4,2,1,1,2,1,5,8
0,11,1,3,2,1,3,14,4,4,5,18
0,3,2,7,4,12,1,5,3,8,5,20
0,16,2,2,4,4,1,2,3,18,5,22
1,1,2,5,3,10,0,9,4,6,5,16
0,6,1,6,2,1,3,12,4,7,5,19
1,3,2,11,3,5,0,2,4,14,5,19
0,6,1,1,4,15,2,14,3,7,5,22
1,1,4,4,5,20,0,15,2,3,3,16
0,2,1,2,5,9,2,3,3,4,4,5
0,4,1,4,5,13,2,1,3,8,4,5
0,3,1,4,4,13,2,9,3,7,5,20
0,10,2,2,4,3,1,1,3,11,5,14
0,7,1,2,2,5,3,9,4,7,5,16
1,4,2,3,5,14,0,3,3,7,4,7
1,3,2,2,5,10,0,2,3,5,4,5
0,12,1,3,4,7,2,4,3,15,5,22
0,8,2,5,4,6,1,1,3,9,5,15
0,6,2,1,3,11,1,5,4,6,5,17
1,6,2,2,5,15,0,1,3,7,4,8
0,17,1,1,2,2,3,18,4,3,5,21
2,3,3,6,5,14,0,1,1,5,4,8
1,3,2,8,3,6,0,3,4,11,5,17
0,1,3,6,4,15,1,5,2,10,5,21
2,3,3,12,4,5,0,10,1,2,5,17
0,4,2,2,4,9,1,7,3,11,5,20
0,3,1,4,2,11,3,7,4,15,5,22
0,9,1,1,2,10,3,10,4,11,5,21
0,1,2,9,3,6,1,5,4,14,5,20
1,2,3,8,4,7,0,6,2,5,5,15
0,1,2,3,3,12,1,11,4,14,5,26
1,3,2,7,5,15,0,2,3,5,4,10
2,1,3,11,4,2,0,10,1,1,5,13
1,1,3,4,5,15,0,3,2,10,4,11
0,1,1,5,4,8,2,3,3,6,5,14
0,2,1,15,2,3,3,17,4,18,5,35
0,8,1,9,2,3,3,17,4,12,5,29
0,4,1,1,4,9,2,8,3,5,5,14
0,5,1,11,2,1,3,16,4,12,5,28
1,2,2,5,5,13,0,4,3,6,4,7
0,15,1,2,2,2,3,17,4,4,5,21
0,2,2,1,4,9,1,8,3,10,5,19
2,4,3,3,5,9,0,1,1,2,4,6
0,6,1,6,2,7,3,12,4,13,5,25
0,11,2,4,4,5,1,1,3,12,5,17
1,5,4,7,5,14,0,2,2,2,3,7
0,10,1,1,5,13,2,1,3,11,4,2
0,1,2,4,4,15,1,11,3,12,5,27
2,1,4,2,5,12,0,9,1,1,3,10
0,9,1,1,4,13,2,12,3,10,5,23
0,1,2,2,4,21,1,19,3,20,5,41
0,7,4,5,5,15,1,3,2,2,3,10
0,10,1,4,4,7,2,3,3,14,5,21
1,1,2,5,3,8,0,7,4,6,5,14
0,6,2,1,4,13,1,12,3,18,5,31
0,8,1,3,2,10,3,11,4,13,5,24
0,5,3,6,4,12,1,1,2,11,5,18
1,1,2,12,3,7,0,6,4,13,5,20
0,5,3,7,4,13,1,2,2,11,5,20
0,6,2,2,4,8,1,6,3,12,5,20
0,15,1,1,2,1,3,16,4,2,5,18
0,7,1,11,2,3,3,18,4,14,5,32
1,3,2,10,3,11,0,8,4,13,5,24
0,16,1,3,2,2,3,19,4,5,5,24
0,3,1,13,2,1,3,16,4,14,5,30
0,9,2,3,4,12,1,9,3,18,5,30
0,3,1,7,2,11,3,10,4,18,5,28
0,3,2,9,3,7,1,4,4,13,5,20
2,6,3,8,4,7,0,7,1,1,5,15
0,17,2,3,4,4,1,1,3,18,5,22
1,1,2,10,3,9,0,8,4,11,5,20
1,4,2,1,5,15,0,6,3,10,4,5
0,4,2,1,3,15,1,11,4,12,5,27
1,1,2,9,5,13,0,2,3,3,4,10
0,2,2,1,4,10,1,9,3,11,5,21
0,1,1,1,5,23,2,20,3,2,4,21
0,2,1,2,2,12,3,4,4,14,5,18
1,3,4,6,5,10,0,1,2,3,3,4
0,8,2,3,4,14,1,11,3,19,5,33
1,3,3,12,4,6,0,9,2,3,5,18
0,2,1,2,5,11,2,5,3,4,4,7
0,4,2,1,4,8,1,7,3,11,5,19
0,5,2,3,3,14,1,9,4,12,5,26
0,3,1,1,4,20,2,19,3,4,5,24
1,3,3,4,4,14,0,1,2,11,5,18
0,7,1,5,4,12,2,7,3,12,5,24
1,1,2,10,5,14,0,2,3,3,4,11
2,11,3,3,5,15,0,2,1,1,4,12
0,3,3,4,4,13,1,1,2,12,5,17
1,4,2,1,5,14,0,5,3,9,4,5
0,2,1,4,2,14,3,6,4,18,5,24
0,9,1,6,4,7,2,1,3,15,5,22
0,5,1,4,4,13,2,9,3,9,5,22
0,1,2,11,4,13,1,2,3,3,5,16
0,2,3,10,4,12,1,8,2,4,5,22
0,1,1,14,2,1,3,15,4,15,5,30
1,8,2,2,3,9,0,1,4,10,5,19
0,3,1,1,5,21,2,16,3,4,4,17
0,6,3,7,4,13,1,1,2,12,5,20
0,4,2,7,4,14,1,7,3,11,5,25
0,7,3,9,4,6,1,2,2,4,5,15
1,4,2,3,3,14,0,10,4,7,5,21
0,5,1,4,2,11,3,9,4,15,5,24
2,3,3,11,5,15,0,10,1,1,4,4
0,4,2,3,4,10,1,7,3,11,5,21
1,7,2,4,3,11,0,4,4,11,5,22
0,3,1,4,2,14,3,7,4,18,5,25
0,4,1,3,4,10,2,7,3,7,5,17
2,1,3,13,4,7,0,7,1,6,5,20
0,2,2,6,3,13,1,11,4,17,5,30
0,8,1,5,2,10,3,13,4,15,5,28
0,2,2,4,4,8,1,4,3,6,5,14
1,2,3,5,4,15,0,3,2,13,5,20
1,1,2,4,5,11,0,5,3,6,4,5
2,7,3,4,5,13,0,2,1,2,4,9
0,3,1,9,4,13,2,4,3,12,5,25
1,4,3,6,4,14,0,2,2,10,5,20
0,3,1,8,2,10,3,11,4,18,5,29
0,7,1,6,2,4,3,13,4,10,5,23
0,1,3,4,5,9,1,3,2,2,4,5
0,9,2,1,3,11,1,2,4,3,5,14
0,1,1,6,4,8,2,2,3,7,5,15
1,4,2,8,3,6,0,2,4,12,5,18
0,4,1,1,2,18,3,5,4,19,5,24
0,13,1,3,2,7,3,16,4,10,5,26
0,6,4,4,5,11,1,1,2,3,3,7
0,2,1,19,2,2,3,21,4,21,5,42
1,3,3,11,5,15,0,8,2,1,4,4
0,8,1,10,2,3,3,18,4,13,5,31
0,4,4,5,5,10,1,1,2,4,3,5
0,6,1,7,2,10,3,13,4,17,5,30
0,2,2,1,4,11,1,10,3,12,5,23
0,1,2,6,3,12,1,11,4,17,5,29
0,5,4,4,5,10,1,1,2,3,3,6
0,6,1,1,5,11,2,3,3,7,4,4
0,9,1,4,2,4,3,13,4,8,5,21
0,2,1,7,2,14,3,9,4,21,5,30
1,2,2,19,3,3,0,1,4,21,5,24
1,9,2,1,3,10,0,1,4,10,5,20
0,10,1,2,2,5,3,12,4,7,5,19
0,8,1,5,2,11,3,13,4,16,5,29
0,9,2,6,3,11,1,2,4,8,5,19
0,3,1,19,2,2,3,22,4,21,5,43
0,5,1,11,2,4,3,16,4,15,5,31
0,7,1,3,2,14,3,10,4,17,5,27
0,3,1,4,2,15,3,7,4,19,5,26
0,8,1,13,2,3,3,21,4,16,5,37
1,3,2,15,3,5,0,2,4,18,5,23
0,2,1,1,5,22,2,18,3,3,4,19
0,18,1,1,4,7,2,6,3,19,5,26
2,2,4,7,5,23,0,11,1,5,3,16
2,1,4,6,5,21,0,10,1,5,3,15
1,5,3,7,4,9,0,2,2,4,5,16
1,2,4,3,5,14,0,9,2,1,3,11
0,9,1,4,2,5,3,13,4,9,5,22
0,5,2,4,3,9,1,4,4,8,5,17
0,2,1,8,4,14,2,6,3,10,5,24
1,1,3,2,5,17,0,1,2,14,4,15
0,6,2,1,4,8,1,7,3,13,5,21
1,3,2,8,3,10,0,7,4,11,5,21
0,3,1,11,4,12,2,1,3,14,5,26
0,11,1,4,2,7,3,15,4,11,5,26
0,1,1,7,2,12,3,8,4,19,5,27
0,5,2,2,3,19,1,14,4,16,5,35
0,3,2,2,3,17,1,14,4,16,5,33
1,1,4,7,5,23,0,15,2,6,3,16
0,3,2,4,3,15,1,12,4,16,5,31
1,2,2,5,3,8,0,6,4,7,5,15
0,5,2,5,3,10,1,5,4,10,5,20
0,3,1,2,5,10,2,3,3,5,4,5
1,3,4,6,5,23,0,14,2,3,3,17
0,8,1,2,2,9,3,10,4,11,5,21
2,6,3,10,4,13,0,3,1,7,5,23
0,1,1,7,4,11,2,4,3,8,5,19
0,6,1,2,4,9,2,7,3,8,5,17
0,6,1,3,2,12,3,9,4,15,5,24
0,4,2,5,4,15,1,10,3,14,5,29
1,4,2,1,3,13,0,9,4,5,5,18
0,1,1,12,2,10,3,13,4,22,5,35
1,2,3,9,4,13,0,7,2,11,5,22
0,6,1,5,2,14,3,11,4,19,5,30
1,6,2,2,3,12,0,6,4,8,5,20
0,7,2,3,4,10,1,7,3,14,5,24
0,1,1,4,2,18,3,5,4,22,5,27
0,20,2,2,4,6,1,4,3,24,5,30
0,3,1,15,2,7,3,18,4,22,5,40
0,1,1,4,4,20,2,16,3,5,5,25
1,2,4,6,5,20,0,12,2,4,3,14
0,3,2,3,3,17,1,14,4,17,5,34
0,4,2,7,3,14,1,10,4,17,5,31
0,6,2,1,3,14,1,8,4,9,5,23
0,1,1,2,5,23,2,18,3,3,4,20
2,10,3,7,4,14,0,3,1,4,5,21
0,16,1,2,2,1,3,18,4,3,5,21
0,21,2,2,4,5,1,3,3,24,5,29
0,2,1,1,2,22,3,3,4,23,5,26
0,6,1,13,2,6,3,19,4,19,5,38
0,9,1,2,2,8,3,11,4,10,5,21
0,2,2,14,3,11,1,9,4,23,5,34
0,9,1,8,2,6,3,17,4,14,5,31
2,1,4,5,5,23,0,14,1,4,3,18
0,1,1,1,4,17,2,16,3,2,5,19
0,15,1,3,2,7,3,18,4,10,5,28
0,1,2,3,4,16,1,13,3,14,5,30
0,1,2,6,4,21,1,15,3,16,5,37
0,6,1,4,2,9,3,10,4,13,5,23
0,2,1,9,2,14,3,11,4,23,5,34
0,7,1,11,2,7,3,18,4,18,5,36
0,7,1,1,5,10,2,1,3,8,4,2
0,3,2,13,3,7,1,4,4,17,5,24
0,2,2,7,3,12,1,10,4,17,5,29
0,11,1,3,2,8,3,14,4,11,5,25
1,2,2,3,3,16,0,14,4,5,5,21
0,3,1,10,4,13,2,3,3,13,5,26
2,3,3,16,4,7,0,12,1,4,5,23
0,1,2,2,3,21,1,20,4,22,5,43
1,1,3,2,5,19,0,1,2,16,4,17
1,2,3,15,4,12,0,13,2,10,5,27
0,1,3,7,5,23,1,6,2,10,4,16
0,11,1,5,2,10,3,16,4,15,5,31
0,2,2,5,3,13,1,11,4,16,5,29
0,1,1,7,2,18,3,8,4,25,5,33
1,2,3,8,5,12,0,6,2,2,4,4
0,3,1,17,2,6,3,20,4,23,5,43
0,11,1,9,2,6,3,20,4,15,5,35
0,1,2,19,3,6,1,5,4,24,5,30
0,1,2,8,3,15,1,14,4,22,5,37
0,12,1,5,2,5,3,17,4,10,5,27
1,7,2,2,5,20,0,4,3,11,4,9
0,5,2,5,4,15,1,10,3,15,5,30
0,8,1,15,2,3,3,23,4,18,5,41
0,1,2,16,3,7,1,6,4,22,5,29
1,2,2,2,5,17,0,11,3,13,4,4
0,8,2,1,4,8,1,7,3,15,5,23
0,3,1,6,4,9,2,3,3,9,5,18
0,7,1,2,4,9,2,7,3,9,5,18
1,2,2,1,5,20,0,15,3,17,4,3
0,7,1,4,2,9,3,11,4,13,5,24
0,7,2,6,3,15,1,8,4,14,5,29
0,9,1,8,2,7,3,17,4,15,5,32
1,1,2,20,3,2,0,1,4,21,5,23
0,14,2,3,4,12,1,9,3,23,5,35
0,12,1,10,2,2,3,22,4,12,5,34
0,6,1,3,4,11,2,8,3,9,5,20
0,7,2,5,3,10,1,3,4,8,5,18
1,7,2,2,3,18,0,11,4,9,5,27
0,15,1,4,4,7,2,3,3,19,5,26
2,11,3,5,4,12,0,4,1,1,5,17
0,4,1,2,4,20,2,18,3,6,5,26
1,3,2,6,3,18,0,15,4,9,5,27
0,1,1,15,2,10,3,16,4,25,5,41
2,6,3,8,4,12,0,2,1,6,5,20
2,1,4,3,5,8,0,3,1,2,3,5
0,7,2,5,3,9,1,2,4,7,5,16
0,11,1,7,2,5,3,18,4,12,5,30
1,2,3,14,4,12,0,12,2,10,5,26
0,6,1,9,4,14,2,5,3,15,5,29
1,5,2,6,5,21,0,5,3,10,4,11
1,4,3,6,4,10,0,2,2,6,5,16
0,1,3,2,5,19,1,1,2,16,4,17
0,6,1,15,2,6,3,21,4,21,5,42
0,16,1,4,4,7,2,3,3,20,5,27
0,9,2,6,4,15,1,9,3,18,5,33
1,7,2,3,3,18,0,11,4,10,5,28
0,3,1,21,2,3,3,24,4,24,5,48
0,4,2,11,4,15,1,4,3,8,5,23
1,3,4,4,5,19,0,12,2,1,3,15
0,11,1,13,2,3,3,24,4,16,5,40
0,8,2,4,3,9,1,1,4,5,5,14
1,1,2,6,3,23,0,22,4,7,5,30
1,5,3,8,4,13,0,3,2,8,5,21
0,13,2,2,4,15,1,13,3,26,5,41
1,3,3,4,5,10,0,1,2,3,4,6
1,1,3,15,4,8,0,14,2,7,5,23
0,3,2,2,4,17,1,15,3,18,5,35
0,5,3,7,5,10,1,2,2,1,4,3
1,1,2,10,5,21,0,9,3,10,4,11
0,5,4,2,5,8,1,1,2,1,3,6
1,1,3,7,4,16,0,6,2,15,5,23
0,6,3,11,4,14,1,5,2,9,5,25
0,1,3,7,5,22,1,6,2,9,4,15
1,6,2,2,3,18,0,12,4,8,5,26
0,3,2,19,3,7,1,4,4,23,5,30
0,10,1,3,2,14,3,13,4,17,5,30
0,12,1,4,2,5,3,16,4,9,5,25
0,20,1,2,4,5,2,3,3,22,5,27
1,1,3,5,4,22,0,4,2,21,5,27
0,2,1,16,2,7,3,18,4,23,5,41
0,4,1,6,4,9,2,3,3,10,5,19
0,9,1,1,4,11,2,10,3,10,5,21
1,4,2,10,3,8,0,4,4,14,5,22
0,9,1,3,2,15,3,12,4,18,5,30
1,3,2,3,3,22,0,19,4,6,5,28
0,3,1,17,2,7,3,20,4,24,5,44
1,3,3,14,4,13,0,11,2,10,5,27
1,2,4,4,5,16,0,10,2,2,3,12
0,1,2,12,3,10,1,9,4,21,5,31
2,12,3,3,4,14,0,1,1,2,5,17
0,7,3,13,4,7,1,6,2,1,5,20
0,4,1,7,4,10,2,3,3,11,5,21
0,21,1,3,4,5,2,2,3,24,5,29
0,15,1,2,2,4,3,17,4,6,5,23
1,7,3,9,4,12,0,2,2,5,5,21
0,8,3,11,4,12,1,3,2,9,5,23
0,14,1,2,4,12,2,10,3,16,5,28
0,4,3,7,4,21,1,3,2,18,5,28
1,1,2,13,3,9,0,8,4,14,5,23
0,9,1,8,2,5,3,17,4,13,5,30
0,3,1,19,2,6,3,22,4,25,5,47
0,4,2,3,4,16,1,13,3,17,5,33
0,21,2,1,4,5,1,4,3,25,5,30
1,4,3,15,4,12,0,11,2,8,5,27
0,24,2,2,4,5,1,3,3,27,5,32
0,2,1,1,5,18,2,14,3,3,4,15
1,7,2,7,3,13,0,6,4,14,5,27
0,3,1,5,4,22,2,17,3,8,5,30
0,7,1,16,2,3,3,23,4,19,5,42
0,3,2,2,4,18,1,16,3,19,5,37
0,9,2,6,3,15,1,6,4,12,5,27
0,21,1,3,4,6,2,3,3,24,5,30
0,13,1,3,2,8,3,16,4,11,5,27
0,3,3,4,5,10,1,1,2,5,4,6
0,7,1,9,4,14,2,5,3,16,5,30
0,8,1,7,2,9,3,15,4,16,5,31
1,3,2,19,3,5,0,2,4,22,5,27
0,5,1,5,5,21,2,6,3,10,4,11
1,1,4,4,5,28,0,23,2,3,3,24
0,2,1,5,4,23,2,18,3,7,5,30
0,8,2,7,4,8,1,1,3,9,5,17
1,5,2,8,3,8,0,3,4,13,5,21
0,7,2,2,3,17,1,10,4,12,5,29
2,2,4,6,5,18,0,8,1,4,3,12
0,9,2,4,4,14,1,10,3,19,5,33
1,6,2,3,3,18,0,12,4,9,5,27
0,3,2,18,3,5,1,2,4,20,5,25
2,6,3,15,4,13,0,8,1,7,5,28
0,7,2,8,4,12,1,4,3,11,5,23
0,1,2,19,3,4,1,3,4,22,5,26
1,1,4,6,5,18,0,11,2,5,3,12
1,1,4,12,5,20,0,7,2,11,3,8
0,21,1,5,2,2,3,26,4,7,5,33
2,3,4,6,5,19,0,10,1,3,3,13
1,5,3,10,4,8,0,5,2,3,5,18
1,4,2,18,3,7,0,3,4,22,5,29
1,6,2,12,3,7,0,1,4,18,5,25
0,12,2,3,4,8,1,5,3,17,5,25
0,2,4,9,5,15,1,4,2,5,3,6
0,18,1,2,2,6,3,20,4,8,5,28
2,7,3,15,4,12,0,10,1,5,5,27
2,5,3,7,4,10,0,2,1,5,5,17
0,13,1,10,2,3,3,23,4,13,5,36
0,12,1,7,2,5,3,19,4,12,5,31
1,5,3,8,4,14,0,3,2,9,5,22
0,4,1,11,2,9,3,15,4,20,5,35
0,2,3,9,4,9,1,7,2,2,5,18
2,4,3,18,4,6,0,16,1,2,5,24
0,5,1,3,5,23,2,12,3,8,4,15
0,13,1,2,4,13,2,11,3,15,5,28
0,3,1,17,2,4,3,20,4,21,5,41
1,3,4,6,5,16,0,7,2,3,3,10
0,2,1,15,2,11,3,17,4,26,5,43
0,8,1,2,2,12,3,10,4,14,5,24
1,1,2,9,3,13,0,12,4,10,5,23
0,10,1,2,2,14,3,12,4,16,5,28
2,3,3,11,5,21,0,4,1,7,4,10
0,1,3,7,4,17,1,6,2,11,5,24
0,9,3,10,4,12,1,1,2,11,5,22
1,2,2,3,5,19,0,12,3,14,4,5
0,11,1,7,4,13,2,6,3,18,5,31
0,10,1,9,2,10,3,19,4,19,5,38
0,11,1,9,2,5,3,20,4,14,5,34
0,5,1,3,4,23,2,20,3,8,5,31
1,2,3,14,4,14,0,12,2,12,5,28
0,3,2,9,3,15,1,12,4,21,5,36
0,4,1,19,2,6,3,23,4,25,5,48
1,11,2,6,3,15,0,4,4,17,5,32
0,8,2,10,4,14,1,4,3,12,5,26
0,2,2,18,3,11,1,9,4,27,5,38
0,23,1,3,4,5,2,2,3,26,5,31
2,1,3,22,4,6,0,17,1,5,5,28
1,2,2,18,3,4,0,2,4,20,5,24
0,4,1,4,2,19,3,8,4,23,5,31
0,6,1,9,2,14,3,15,4,23,5,38
2,3,4,7,5,19,0,8,1,4,3,12
0,24,1,3,2,2,3,27,4,5,5,32
0,2,3,5,5,23,1,3,2,15,4,18
1,1,3,14,4,9,0,13,2,8,5,23
0,2,3,11,4,20,1,9,2,11,5,31
0,19,1,4,4,6,2,2,3,23,5,29
0,17,1,1,4,13,2,12,3,18,5,31
0,8,1,2,2,13,3,10,4,15,5,25
0,11,2,7,4,14,1,7,3,18,5,32
0,11,1,1,2,13,3,12,4,14,5,26
1,4,3,9,5,14,0,5,2,1,4,5
1,5,2,1,5,22,0,11,3,16,4,6
0,3,2,6,4,23,1,17,3,20,5,43
1,1,2,5,5,22,0,15,3,16,4,6
0,8,1,19,2,2,3,27,4,21,5,48
0,7,2,9,4,12,1,3,3,10,5,22
0,3,2,4,4,21,1,17,3,20,5,41
2,4,4,8,5,13,0,1,1,4,3,5
1,3,3,4,5,20,0,1,2,13,4,16
1,4,2,14,3,10,0,6,4,18,5,28
0,3,2,10,4,11,1,1,3,4,5,15
2,7,3,8,4,14,0,1,1,7,5,22
0,14,1,9,2,6,3,23,4,15,5,38
0,4,2,3,4,17,1,14,3,18,5,35
1,2,2,3,3,21,0,19,4,5,5,26
1,10,2,3,3,13,0,3,4,13,5,26
1,1,2,10,3,17,0,16,4,11,5,28
0,1,1,13,2,15,3,14,4,28,5,42
1,2,3,20,4,4,0,18,2,2,5,24
1,4,3,7,4,21,0,3,2,17,5,28
0,3,1,9,2,13,3,12,4,22,5,34
0,9,1,5,2,15,3,14,4,20,5,34
0,3,1,18,2,6,3,21,4,24,5,45
1,4,3,6,4,20,0,2,2,16,5,26
0,13,1,11,2,1,3,24,4,12,5,36
0,2,1,12,4,15,2,3,3,14,5,29
0,2,1,13,2,14,3,15,4,27,5,42
0,6,2,5,4,9,1,4,3,10,5,19
0,5,1,16,2,6,3,21,4,22,5,43
1,6,2,2,5,22,0,8,3,14,4,8
0,4,3,5,5,21,1,1,2,15,4,16
0,22,2,1,4,5,1,4,3,26,5,31
0,7,2,11,3,9,1,2,4,13,5,22
0,2,2,9,3,14,1,12,4,21,5,35
0,6,2,3,3,16,1,10,4,13,5,29
1,12,2,2,3,14,0,2,4,14,5,28
0,12,1,10,2,1,3,22,4,11,5,33
0,2,1,7,4,22,2,15,3,9,5,31
1,7,2,1,3,18,0,11,4,8,5,26
0,3,3,6,4,22,1,3,2,19,5,28
1,1,2,6,3,21,0,20,4,7,5,28
0,5,1,9,2,12,3,14,4,21,5,35
1,5,2,12,3,10,0,5,4,17,5,27
2,1,3,18,4,3,0,16,1,2,5,21
0,9,1,8,4,13,2,5,3,17,5,30
1,3,4,7,5,19,0,9,2,4,3,12
1,3,3,18,4,12,0,15,2,9,5,30
0,6,1,3,4,23,2,20,3,9,5,32
1,2,2,9,3,14,0,12,4,11,5,25
1,3,3,8,4,10,0,5,2,7,5,18
0,11,1,6,2,11,3,17,4,17,5,34
0,12,1,15,2,3,3,27,4,18,5,45
0,3,1,14,2,11,3,17,4,25,5,42
0,18,2,5,4,6,1,1,3,19,5,25
0,2,1,24,2,2,3,26,4,26,5,52
0,2,3,10,5,21,1,8,2,3,4,11
0,1,2,22,3,5,1,4,4,26,5,31
0,18,1,8,2,2,3,26,4,10,5,36
0,1,2,1,4,19,1,18,3,19,5,38
0,1,1,9,2,16,3,10,4,25,5,35
0,7,2,2,4,16,1,14,3,21,5,37
0,4,1,8,4,10,2,2,3,12,5,22
